,/lpc/f71858/voltage/0,/lpc/f71858/voltage/1,/lpc/f71858/voltage/2,/lpc/f71858/temperature/0,/lpc/f71858/temperature/1,/lpc/f71858/temperature/2,/lpc/f71858/fan/0,/lpc/f71858/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0
Time,"VCC3V","VSB3V","Battery","Temperature #1","Temperature #2","Temperature #3","CPU Fan","Case Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
04/24/2016 17:45:18,3.29600024,3.31200027,3.24800014,37.25,40.625,57.5,1236.60352,951.1731,3.076923,1.53846145,3.076923,6.92307949,3.65384221,53,51,50,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9750519,4.46482849,11.4952087,43.0000038,1614,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:19,3.29600024,3.29600024,3.24800014,37.25,40,57.5,1236.60352,952.381,5.384612,3.076923,3.8461566,7.69230747,4.999995,54,52,50,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9740753,4.464672,11.4953651,43.0000038,1613,30,250,150,0.900000036,16,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:20,3.29600024,3.31200027,3.24800014,37.25,39.875,57.25,1236.60352,951.1731,2.30768919,0.7692337,3.8461566,3.076923,2.49999762,53,52,50,49,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.9736862,4.464611,11.4954262,43.0000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:21,3.29600024,3.29600024,3.24800014,37.25,39.75,57.5,1238.64575,951.1731,3.8461566,3.8461566,4.615384,4.615384,4.23077345,52,51,49,48,1197.081,1197.081,1197.081,1197.081,133.009,27.973587,4.464596,11.4954414,43.0000038,1610,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:22,3.29600024,3.31200027,3.24800014,37.5,39.75,57.375,1236.60352,951.1731,6.153846,3.858173,5.384612,4.615384,5.003005,54,52,50,50,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.973259,4.46454239,11.4954948,42.5000038,1613,30,250,150,0.900000036,10,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:23,3.29600024,3.29600024,3.24800014,37.375,40,57.625,1238.64575,959.6929,9.230768,5.384612,3.076923,5.384612,5.769229,53,52,49,50,1197.08081,1197.08081,1197.08081,1197.08081,133.008987,27.9732819,4.464546,11.495491,42.5000038,1612,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:24,3.29600024,3.29600024,3.24800014,37.375,39.75,57.25,1236.60352,958.466431,1.53846145,3.076923,3.076923,4.615384,3.076917,53,52,49,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9730377,4.464508,11.4955292,42.5000038,1614,30,250,150,0.900000036,1,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:25,3.29600024,3.29600024,3.24800014,37.375,39.375,57.375,1238.64575,958.466431,1.53846145,2.30768919,1.53846145,2.30768919,1.9230783,54,53,51,50,1862.12646,1862.12646,1862.12646,1862.12646,133.009033,27.9699554,4.464016,11.4960213,42.5000038,1615,30,250,150,0.900000036,1,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:26,3.29600024,3.31200027,3.24800014,37.5,39.75,57.25,1236.60352,958.466431,3.8461566,5.349648,3.8461566,5.384612,4.60664034,53,51,51,50,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.96862,4.46380234,11.4962349,42.5000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:27,3.29600024,3.29600024,3.24800014,37.375,40,57.25,1238.64575,958.466431,8.473557,6.92307949,5.384612,9.230768,7.503009,53,52,50,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.96862,4.46380234,11.4962349,43.0000038,1606,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:29,3.29600024,3.31200027,3.24800014,37.25,39.75,57.125,1238.64575,958.466431,5.384612,4.615384,5.384612,7.69230747,5.769229,53,52,50,50,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.96862,4.46380234,11.4962349,43.5000038,1607,30,500,1250,1.0200001,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:30,3.29600024,3.31200027,3.24800014,37.25,39.5,57.25,1238.64575,951.1731,1.53846145,3.076923,2.30768919,2.30768919,2.30769515,53,51,50,48,1197.081,1197.081,1197.081,1197.081,133.009,27.969696,4.463974,11.4960632,43.0000038,1607,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:31,3.29600024,3.31200027,3.24800014,37.25,39.5,57.25,1238.64575,959.6929,3.076923,3.076923,0.7692337,3.076923,2.49999762,52,51,49,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9692154,4.46389771,11.49614,43.0000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:32,3.29600024,3.31200027,3.24800014,37.25,39.5,57.375,1272.26465,959.6929,0.7692337,3.8461566,1.53846145,3.076923,2.30768919,51,51,48,48,1197.081,1197.081,1197.081,1197.081,133.009,27.9693375,4.463917,11.49612,42.5000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:33,3.29600024,3.31200027,3.24800014,37,39.75,57.25,1236.60352,959.6929,3.8461566,1.53846145,0.7692337,3.8461566,2.49999762,53,52,50,49,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.96936,4.46392059,11.4961166,42.5000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:34,3.29600024,3.31200027,3.24800014,37,39.5,57.25,1238.64575,959.6929,1.53846145,1.53846145,1.53846145,0,1.15384459,53,51,49,49,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.9692154,4.46389771,11.49614,42.5000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:35,3.29600024,3.29600024,3.24800014,37.125,39.25,57.125,1236.60352,959.6929,1.53846145,0.78125,0.7692337,1.53846145,1.15685463,52,51,50,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9693375,4.463917,11.49612,42.5000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:36,3.29600024,3.31200027,3.24800014,37,39.25,57.125,1236.60352,952.381,1.53846145,3.00802,0,0.7692337,1.32893324,52,51,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009033,27.96936,4.46392059,11.4961166,42.5000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:37,3.29600024,3.29600024,3.24800014,37.125,39.5,56.75,1236.60352,952.381,0.7692337,2.30768919,2.30768919,5.384612,2.692306,53,51,50,49,1197.08081,1197.08081,1197.08081,1197.08081,133.008987,27.9693832,4.46392441,11.4961128,43.0000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:38,3.29600024,3.29600024,3.24800014,37,39.75,56.625,1238.64575,952.381,6.177884,6.153846,6.153846,6.153846,6.159854,53,51,49,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9713745,4.464241,11.4957962,43.0000038,1607,30,250,150,0.900000036,5,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:39,3.29600024,3.29600024,3.24800014,37.25,39.875,56.5,1236.60352,951.1731,5.315733,2.30768919,6.153846,13.0769253,6.71354532,53,52,50,50,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.97422,4.464695,11.4953423,42.5000038,1602,30,250,150,0.900000036,17,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:40,3.29600024,3.29600024,3.24800014,37.125,39.5,56.625,1238.64575,952.381,3.076923,2.30768919,3.076923,2.30768919,2.692306,52,51,48,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9822159,4.465973,11.4940643,42.5000038,1611,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:41,3.29600024,3.29600024,3.24800014,37.5,39.875,56.75,1238.64575,951.1731,10.76923,8.473557,6.92307949,10.0000019,9.041464,52,52,49,49,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.9809113,4.465763,11.4942741,43.0000038,1597,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:42,3.29600024,3.31200027,3.24800014,37.375,39.5,57,1238.64575,958.466431,6.153846,2.30768919,3.8461566,3.076923,3.8461566,53,51,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.9847336,4.46637344,11.4936638,43.0000038,1603,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:43,3.29600024,3.31200027,3.24800014,37.375,39.75,56.875,1238.64575,958.466431,4.615384,6.153846,4.615384,6.153846,5.384612,53,51,49,47,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9874573,4.46680832,11.4932289,43.0000038,1601,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:44,3.29600024,3.29600024,3.24800014,37.5,40,57.125,1238.64575,959.6929,8.4615345,8.4615345,6.153846,4.615384,6.923074,51,52,49,48,1197.081,1197.081,1197.081,1197.081,133.009,27.9878387,4.46686935,11.4931679,43.0000038,1592,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:45,3.29600024,3.29600024,3.24800014,37.625,39.75,57,1238.64575,959.6929,1.53846145,3.8461566,3.076923,1.53846145,2.49999762,52,51,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009033,27.98867,4.467003,11.4930344,43.0000038,1606,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:46,3.29600024,3.31200027,3.24800014,37.5,39.75,57.125,1274.42651,952.381,1.52680874,2.30768919,1.53846145,2.30768919,1.92016959,52,50,50,49,1197.081,1197.081,1197.081,1197.081,133.009018,27.9870071,4.466736,11.4933014,42.5000038,1613,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:47,3.29600024,3.29600024,3.24800014,37.375,39.75,57,1272.26465,952.381,3.8461566,3.076923,3.8461566,6.153846,4.23076725,53,51,50,49,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.98703,4.46673965,11.4932976,42.5000038,1614,30,250,150,0.900000036,9,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:48,3.29600024,3.29600024,3.24800014,37.5,39.5,57.125,1274.42651,952.381,5.384612,3.8461566,0.7692337,4.615384,3.65384221,52,50,49,48,1197.08081,1197.08081,1197.08081,1197.08081,133.008972,27.9870987,4.466751,11.4932861,43.0000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:49,3.29600024,3.29600024,3.24800014,37.625,39.875,56.75,1236.60352,953.591858,8.4615345,4.615384,3.076923,4.615384,5.19230938,53,51,49,48,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.9870758,4.46674728,11.49329,42.5000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:50,3.29600024,3.29600024,3.24800014,37.5,39.625,57.125,1238.64575,959.6929,3.8461566,7.657343,2.30768919,4.615384,4.60664034,52,52,49,49,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.9871445,4.46675873,11.4932785,42.5000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:51,3.29600024,3.29600024,3.24800014,37.125,40,56.875,1274.42651,960.9225,3.8461566,6.92307949,6.92307949,5.384612,5.769229,53,51,49,50,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9871445,4.46675873,11.4932785,43.0000038,1614,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:52,3.29600024,3.29600024,3.24800014,37.375,39.5,57,1236.60352,952.381,1.53846145,4.615384,3.8461566,4.615384,3.65384221,52,51,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.9596863,4.46237564,11.4976616,42.5000038,1619,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:53,3.29600024,3.29600024,3.24800014,37.375,39.625,57,1236.60352,960.9225,5.384612,2.30768919,3.076923,2.30768919,3.26923132,52,52,49,48,1197.081,1197.081,1197.081,1197.081,133.009018,27.956337,4.46184158,11.4981956,42.5000038,1619,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:54,3.29600024,3.31200027,3.24800014,37.375,39.5,57.25,1236.60352,959.6929,2.30768919,3.076923,4.615384,11.5384579,5.384612,52,51,50,49,1197.08154,1197.08154,1197.08154,1197.08154,133.009064,27.9561234,4.46180725,11.49823,42.5000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:55,3.29600024,3.29600024,3.24800014,37.375,39.5,57.125,1236.60352,959.6929,1.53846145,2.30768919,0.7692337,6.92307949,2.88461447,53,50,50,50,1197.08081,1197.08081,1197.08081,1197.08081,133.008987,27.9562454,4.46182632,11.4982109,42.5000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:56,3.29600024,3.31200027,3.24800014,37.5,39.25,57.125,1238.64575,960.9225,0,0.7692337,1.53846145,3.87057066,1.54457092,52,51,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.9563141,4.461838,11.4981995,42.5000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:57,3.29600024,3.29600024,3.24800014,37.375,39.5,57,1236.60352,959.6929,3.80022526,3.076923,1.53846145,5.384612,3.450054,53,51,49,49,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9552841,4.46167374,11.4983635,42.5000038,1617,30,250,150,0.900000036,6,34,38.630703,33,55.77461,31,66.037796
04/24/2016 17:45:59,3.29600024,3.31200027,3.24800014,37.25,40.375,57,1238.64575,959.6929,13.8461533,11.5384579,10.76923,9.230768,11.3461494,53,52,50,50,1197.08081,1197.08081,1197.08081,1197.08081,133.008972,27.9957047,4.46812439,11.4919128,42.5000038,1611,30,250,150,0.900000036,6,34,38.630703,33,55.77464,31,66.037796
04/24/2016 17:46:00,3.29600024,3.29600024,3.24800014,37.125,40,57,1274.42651,952.381,3.8461566,3.87057066,3.8461566,6.92307949,4.62148762,53,51,50,48,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.9803085,4.46566772,11.4943695,42.5000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77464,31,66.037796
04/24/2016 17:46:01,3.29600024,3.31200027,3.24800014,37.25,39.625,57.125,1238.64575,952.381,4.615384,1.53846145,0.7692337,4.615384,2.88461447,53,50,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009033,27.98024,4.46565628,11.494381,42.5000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77464,31,66.037796
04/24/2016 17:46:02,3.29600024,3.29600024,3.24800014,37,39.25,56.75,1236.60352,952.381,4.615384,2.30768919,3.076923,2.30768919,3.076923,52,51,50,49,1197.08154,1197.08154,1197.08154,1197.08154,133.009064,27.9339142,4.4582634,11.5017738,42.5000038,1615,30,250,150,0.900000036,0,34,38.630703,33,55.77464,31,66.037796
04/24/2016 17:46:03,3.29600024,3.31200027,3.24800014,37.125,39.5,57.25,1274.42651,960.9225,3.076923,3.1129837,1.53846145,2.30768919,2.5090158,52,52,49,49,1197.081,1197.081,1197.081,1197.081,133.009,27.9309235,4.45778656,11.5022507,42.5000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77464,31,66.037796
